snapped_at,price,market_cap,total_volume
2014-01-30 00:00:00 UTC,1.83111e-06,72022.38036882394,2874.4522303963113
2014-01-31 00:00:00 UTC,1.87041e-06,74926.29982414833,2147.0970766745063
2014-02-01 00:00:00 UTC,1.80161e-06,73606.67889881396,1120.2044339231618
2014-02-02 00:00:00 UTC,1.68956e-06,70168.00687772734,1288.8213772819186
2014-02-03 00:00:00 UTC,1.63779e-06,69191.59371690024,3273.1005457543283
2014-02-04 00:00:00 UTC,1.35286e-06,58155.90285748377,2593.639205720239
2014-02-05 00:00:00 UTC,1.57498e-06,68824.49484330024,3331.5403107023944
2014-02-06 00:00:00 UTC,1.62956e-06,72373.76395845004,3182.2953805057127
2014-02-07 00:00:00 UTC,1.57176e-06,70988.4223209683,1820.4608982979898
2014-02-08 00:00:00 UTC,1.61996e-06,74333.60518649216,1316.7571862449001
2014-02-09 00:00:00 UTC,1.72354e-06,80328.44273215285,2278.005024684857
2014-02-10 00:00:00 UTC,1.90841e-06,90352.19477079179,6203.459797067449
2014-02-11 00:00:00 UTC,2.30027e-06,110558.2462748366,7580.846780225964
2014-02-12 00:00:00 UTC,2.84242e-06,138660.08612217667,14185.026892762631
2014-02-13 00:00:00 UTC,2.72058e-06,134702.87597718008,10027.629235413504
2014-02-14 00:00:00 UTC,2.53995e-06,127060.78274915577,10667.095655468005
2014-02-15 00:00:00 UTC,2.26991e-06,114331.30031646513,8002.398258129345
2014-02-16 00:00:00 UTC,2.29133e-06,116242.720211327,3269.7866324632087
2014-02-17 00:00:00 UTC,2.14686e-06,109614.99258328325,4162.064491784998
2014-02-18 00:00:00 UTC,2.19246e-06,112981.24038048752,2926.6963057230914
2014-02-19 00:00:00 UTC,2.18581e-06,113419.09308702144,4030.1852167200614
2014-02-20 00:00:00 UTC,2.16455e-06,113116.2355653921,4468.41807597794
2014-02-21 00:00:00 UTC,2.12354e-06,111739.74750392488,3989.1857753527374
2014-02-22 00:00:00 UTC,2.10454e-06,111504.18973848889,2257.482596469055
2014-02-23 00:00:00 UTC,1.94378e-06,103663.99682205719,4397.157727340849
2014-02-24 00:00:00 UTC,1.99145e-06,106908.78739282362,3632.8552437835424
2014-02-25 00:00:00 UTC,1.85854e-06,100485.39876406481,8818.787204012306
2014-02-26 00:00:00 UTC,1.98156e-06,107872.68718006666,4994.974273798278
2014-02-27 00:00:00 UTC,2.00254e-06,109743.97164427007,2848.798934118032
2014-02-28 00:00:00 UTC,1.9404e-06,107028.49037650072,2737.8251507672894
2014-03-01 00:00:00 UTC,1.86373e-06,103468.4771711543,2246.4601120112384
2014-03-02 00:00:00 UTC,1.71358e-06,95729.86926814314,2613.895618118118
2014-03-03 00:00:00 UTC,1.61063e-06,90580.18997919807,5311.161070903678
2014-03-04 00:00:00 UTC,1.61197e-06,90733.50771351367,5448.876819547019
2014-03-05 00:00:00 UTC,1.5559e-06,88099.05882619589,5582.467899699711
2014-03-06 00:00:00 UTC,1.61146e-06,91828.5427298207,1805.5546031272436
2014-03-07 00:00:00 UTC,1.52654e-06,87540.30473982952,1684.5438188003086
2014-03-08 00:00:00 UTC,1.47402e-06,85044.39131201988,2458.586961096731
2014-03-09 00:00:00 UTC,1.36839e-06,79439.32504598323,2264.528203521993
2014-03-10 00:00:00 UTC,1.36003e-06,79446.16076490094,2194.2938017081933
2014-03-11 00:00:00 UTC,1.25526e-06,73757.63665421089,2408.0914384833964
2014-03-12 00:00:00 UTC,1.16942e-06,69122.70427823995,4804.140195583965
2014-03-13 00:00:00 UTC,1.45139e-06,86317.54609597934,7567.493702597129
2014-03-14 00:00:00 UTC,1.37326e-06,82180.12540549612,3189.079179818288
2014-03-15 00:00:00 UTC,1.37978e-06,83040.62639598399,1559.8060908901414
2014-03-16 00:00:00 UTC,1.31787e-06,79776.64130840887,1326.6842778670186
2014-03-17 00:00:00 UTC,1.273e-06,77503.66935183252,1307.166343601825
2014-03-18 00:00:00 UTC,1.24265e-06,76086.27056149815,2326.109608567746
2014-03-19 00:00:00 UTC,1.27421e-06,78445.2004120449,2268.993268200657
2014-03-20 00:00:00 UTC,1.26094e-06,78053.81965641986,2216.8318521153656
2014-03-21 00:00:00 UTC,1.23682e-06,77021.16433919738,1463.0409845478296
2014-03-22 00:00:00 UTC,1.21043e-06,75785.07388588761,3773.039351608563
2014-03-23 00:00:00 UTC,1.20876e-06,76084.5425669819,1277.2085183553447
2014-03-24 00:00:00 UTC,1.25878e-06,79652.19106017544,1990.6126909551795
2014-03-25 00:00:00 UTC,1.16614e-06,74183.4621277302,1829.843709590657
2014-03-26 00:00:00 UTC,1.12582e-06,72039.30143500009,1440.272005349251
2014-03-27 00:00:00 UTC,1.03287e-06,66512.73978386668,2771.0952706882226
2014-03-28 00:00:00 UTC,1.03425e-06,66936.18822594985,5186.273594255263
2014-03-29 00:00:00 UTC,1.23295e-06,80312.2559389748,3076.747658598362
2014-03-30 00:00:00 UTC,1.14476e-06,74989.26891085008,3072.0486684568714
2014-03-31 00:00:00 UTC,1.10518e-06,72760.40380416585,3036.4766761625488
2014-04-01 00:00:00 UTC,1.12e-06,,866.220632283632
2014-04-02 00:00:00 UTC,1.09e-06,,690.52666269121
2014-04-03 00:00:00 UTC,9.9e-07,,1826.40915172176
2014-04-04 00:00:00 UTC,1.04e-06,,1109.73472860701
2014-04-05 00:00:00 UTC,1.03e-06,,888.100518965044
2014-04-06 00:00:00 UTC,1.01e-06,,825.188978045145
2014-04-07 00:00:00 UTC,1.02271e-06,69663.21207832485,1737.8394164457386
2014-04-08 00:00:00 UTC,1.01e-06,,1113.5359946606
2014-04-09 00:00:00 UTC,9.9e-07,,744.030925232285
2014-04-10 00:00:00 UTC,9.0e-07,,1355.07198469327
2014-04-11 00:00:00 UTC,1.02e-06,,1457.70541098515
2014-04-12 00:00:00 UTC,9.8e-07,,778.993788412369
2014-04-13 00:00:00 UTC,9.1e-07,,886.064581978779
2014-04-14 00:00:00 UTC,9.7e-07,,1582.32136459345
2014-04-15 00:00:00 UTC,1.11e-06,,2395.87330274545
2014-04-16 00:00:00 UTC,1.33e-06,,6484.2241675055
2014-04-17 00:00:00 UTC,1.26e-06,,2417.28281586082
2014-04-18 00:00:00 UTC,1.23e-06,,837.810736187007
2014-04-19 00:00:00 UTC,1.27e-06,,690.13478538087
2014-04-20 00:00:00 UTC,1.25e-06,,454.401056955087
2014-04-21 00:00:00 UTC,1.23e-06,,467.720018039346
2014-04-22 00:00:00 UTC,1.18e-06,,621.880836564193
2014-04-23 00:00:00 UTC,1.16e-06,,783.55861920536
2014-04-24 00:00:00 UTC,1.15e-06,,924.870274240883
2014-04-25 00:00:00 UTC,1.09e-06,,3334.84584471435
2014-04-26 00:00:00 UTC,1.04e-06,,1017.85873759118
2014-04-27 00:00:00 UTC,1.02e-06,,866.519011547696
2014-04-28 00:00:00 UTC,1.08e-06,,2080.62497414588
2014-04-29 00:00:00 UTC,1.11e-06,,1555.89304717925
2014-04-30 00:00:00 UTC,1.13e-06,,1313.18217489224
2014-05-01 00:00:00 UTC,1.12e-06,,550.663031896886
2014-05-02 00:00:00 UTC,1.09e-06,,588.012182466237
2014-05-03 00:00:00 UTC,1.05e-06,,558.847859777814
2014-05-04 00:00:00 UTC,1.09e-06,,641.326926627649
2014-05-05 00:00:00 UTC,1.06e-06,,622.651553873253
2014-05-06 00:00:00 UTC,1.05e-06,,858.103351505826
2014-05-07 00:00:00 UTC,1.07e-06,,728.684763339106
2014-05-08 00:00:00 UTC,1.06e-06,,558.195819432328
2014-05-09 00:00:00 UTC,1.08e-06,,755.619378855119
2014-05-10 00:00:00 UTC,1.07e-06,,552.117127084692
2014-05-11 00:00:00 UTC,1.04e-06,,473.737894277972
2014-05-12 00:00:00 UTC,1.02e-06,,615.871575074
2014-05-13 00:00:00 UTC,1.03e-06,,451.75742616192
2014-05-14 00:00:00 UTC,1.02e-06,,530.510384856321
2014-05-15 00:00:00 UTC,1.0e-06,,724.737520154174
2014-05-16 00:00:00 UTC,1.0e-06,,631.402949474882
2014-05-17 00:00:00 UTC,1.0e-06,,308.706018901594
2014-05-18 00:00:00 UTC,9.9e-07,,408.509010329821
2014-05-19 00:00:00 UTC,1.0e-06,,437.843591737872
2014-05-20 00:00:00 UTC,9.5e-07,,684.331817224296
2014-05-21 00:00:00 UTC,9.3e-07,,721.311584863763
2014-05-22 00:00:00 UTC,8.2e-07,,1238.84858967575
2014-05-23 00:00:00 UTC,7.9e-07,,1105.7751824247
2014-05-24 00:00:00 UTC,8.2e-07,,560.733600554931
2014-05-25 00:00:00 UTC,7.3e-07,,1062.14705663152
2014-05-26 00:00:00 UTC,6.8e-07,,670.189430089324
2014-05-27 00:00:00 UTC,6.8e-07,,537.064926373
2014-05-28 00:00:00 UTC,6.8e-07,,413.575486132495
2014-05-29 00:00:00 UTC,6.9e-07,,294.942429599651
2014-05-30 00:00:00 UTC,5.6e-07,,831.926986842344
2014-05-31 00:00:00 UTC,5.4e-07,,575.372864073784
2014-06-01 00:00:00 UTC,6.5e-07,,1244.82420467985
2014-06-02 00:00:00 UTC,6.0e-07,,610.63623074072
2014-06-03 00:00:00 UTC,5.8e-07,,477.243741978492
2014-06-04 00:00:00 UTC,5.7e-07,,443.716461249739
2014-06-05 00:00:00 UTC,5.5e-07,,343.77950760518
2014-06-06 00:00:00 UTC,5.6e-07,,337.84860643076
2014-06-07 00:00:00 UTC,5.5e-07,,261.141063141476
2014-06-08 00:00:00 UTC,5.6e-07,,220.629449587915
2014-06-09 00:00:00 UTC,5.6e-07,45770.94551512,262.700567371127
2014-06-10 00:00:00 UTC,5.9e-07,48321.41670343,394.897438974644
2014-06-11 00:00:00 UTC,6.6e-07,54159.15864282,947.160945174137
2014-06-12 00:00:00 UTC,6.4e-07,52620.85201728,655.385271936142
2014-06-13 00:00:00 UTC,6.3e-07,51896.22245451,351.839249393604
2014-06-14 00:00:00 UTC,6.3e-07,51993.87245451,268.15386083955
2014-06-15 00:00:00 UTC,6.3e-07,52093.88495451,239.23523428116
2014-06-16 00:00:00 UTC,5.9e-07,48875.27920343,389.173574444815
2014-06-17 00:00:00 UTC,5.9e-07,48975.28420343,154.492853968527
2014-06-18 00:00:00 UTC,5.8e-07,48234.00714066,201.784580369259
2014-06-19 00:00:00 UTC,5.901864690961622e-07,49179.47493197384,297.6529608927229
2014-06-20 00:00:00 UTC,5.885461917951173e-07,49139.829299914454,260.9770038062959
2014-06-21 00:00:00 UTC,5.746884765014782e-07,48074.24632555477,239.5953105163395
2014-06-22 00:00:00 UTC,5.596900918825865e-07,46897.5277076958,319.6309911370643
2014-06-23 00:00:00 UTC,5.56418366563774e-07,46727.50322967476,704.8417487006851
2014-06-24 00:00:00 UTC,5.275018149035889e-07,44385.364334290236,579.4823975223285
2014-06-25 00:00:00 UTC,4.6322476133071e-07,39052.780184456096,783.9193101307552
2014-06-26 00:00:00 UTC,5.089319079542558e-07,42989.01069744671,449.18430894021793
2014-06-27 00:00:00 UTC,4.851692232655228e-07,41058.7585211549,330.12224378859753
2014-06-28 00:00:00 UTC,4.567880389135589e-07,38729.89587723995,290.62211719905315
2014-06-29 00:00:00 UTC,4.419650454667118e-07,37543.03293691625,279.2235053918985
2014-06-30 00:00:00 UTC,4.167357463907304e-07,35468.25697044143,357.4123034921664
2014-07-01 00:00:00 UTC,4.015695940725421e-07,34242.37388693015,436.39198874728066
2014-07-02 00:00:00 UTC,3.413294114998817e-07,29161.37801519366,475.4377445912102
2014-07-03 00:00:00 UTC,3.365184866023053e-07,28804.24308231571,339.1407630830817
2014-07-04 00:00:00 UTC,3.688008881149299e-07,31625.996933993425,359.5335250647736
2014-07-05 00:00:00 UTC,3.520981956523457e-07,30249.796888290566,234.06646995885347
2014-07-06 00:00:00 UTC,3.681884315290766e-07,31691.204839361242,261.6267865121376
2014-07-07 00:00:00 UTC,3.601867286193863e-07,31059.786327226895,181.83137981166809
2014-07-08 00:00:00 UTC,4.189532260124603e-07,36192.30349425951,416.84835554090984
2014-07-09 00:00:00 UTC,4.521829309498223e-07,39074.746455704546,939.2593014847699
2014-07-10 00:00:00 UTC,4.332532076858754e-07,37438.96127588436,499.68453199078925
2014-07-11 00:00:00 UTC,4.272946704842913e-07,36924.06273712324,255.51796970681656
2014-07-12 00:00:00 UTC,4.292116895733329e-07,37089.719221983694,158.25017199626907
2014-07-13 00:00:00 UTC,4.253733996342037e-07,36758.03884236406,190.5517722842851
2014-07-14 00:00:00 UTC,4.1220648697178e-07,35620.23876484255,212.9832167628536
2014-07-15 00:00:00 UTC,4.039634374224151e-07,34907.92733263817,221.84892627656106
2014-07-16 00:00:00 UTC,3.809696583820417e-07,32920.95253866749,305.9845277178578
2014-07-17 00:00:00 UTC,4.130975412510317e-07,35697.23795622489,279.6916079124509
2014-07-18 00:00:00 UTC,3.907556960847401e-07,34264.390100430646,236.23435371168793
2014-07-19 00:00:00 UTC,3.810615077518508e-07,33444.20618319816,134.22027297922594
2014-07-20 00:00:00 UTC,3.809134455765305e-07,33461.79872280501,167.82828998687967
2014-07-21 00:00:00 UTC,3.740460482562062e-07,32888.111006741405,114.20509522480398
2014-07-22 00:00:00 UTC,3.497939111731673e-07,30783.613152794587,350.21686697902277
2014-07-23 00:00:00 UTC,3.594686921699292e-07,31663.296493619175,182.63493890516162
2014-07-24 00:00:00 UTC,3.538011697386544e-07,31192.384808370833,173.03959231345195
2014-07-25 00:00:00 UTC,3.532027765409616e-07,31157.606331172658,121.28912198323108
2014-07-26 00:00:00 UTC,3.434536438230684e-07,30334.169276097226,105.04482787262246
2014-07-27 00:00:00 UTC,3.680009085483209e-07,32530.98591494473,199.22280966491752
2014-07-28 00:00:00 UTC,3.478403809511611e-07,30774.40159519567,212.05027523561768
2014-07-29 00:00:00 UTC,3.59888145603143e-07,31868.574403969127,126.30985380973526
2014-07-30 00:00:00 UTC,3.492841301919166e-07,30953.740818180857,144.56611982983628
2014-07-31 00:00:00 UTC,3.544712682526665e-07,31440.323191571108,125.16505108005082
2014-08-01 00:00:00 UTC,3.527704335777946e-07,31314.8206644125,144.43415092110058
2014-08-02 00:00:00 UTC,3.509622931183789e-07,31181.54018860744,84.52571836498997
2014-08-03 00:00:00 UTC,3.41983183676946e-07,30408.29957584492,126.08910538121413
2014-08-04 00:00:00 UTC,3.418976745933925e-07,30426.872860158415,201.87014450702026
2014-08-05 00:00:00 UTC,3.198931710575434e-07,28493.69368458882,232.36297322363077
2014-08-06 00:00:00 UTC,3.073168370671861e-07,27397.30486819626,206.86463912383428
2014-08-07 00:00:00 UTC,3.039842019141455e-07,27123.64512997208,197.63187407889254
2014-08-08 00:00:00 UTC,2.824182449957251e-07,25220.981171406198,135.9047712021446
2014-08-09 00:00:00 UTC,2.828948363630283e-07,25285.18397684672,96.00140458022138
2014-08-10 00:00:00 UTC,2.541209717562824e-07,22731.985894718342,124.01798903847458
2014-08-11 00:00:00 UTC,2.469948889195989e-07,22113.62932172974,161.79267731504626
2014-08-12 00:00:00 UTC,2.60032821647772e-07,23300.134702353647,175.82951774080558
2014-08-13 00:00:00 UTC,2.638003128336254e-07,23658.04832180948,166.50074706522835
2014-08-14 00:00:00 UTC,2.884497577910713e-07,25890.06870479435,196.29181203951626
2014-08-15 00:00:00 UTC,2.405978730357956e-07,21609.66578720453,461.3494288987543
2014-08-16 00:00:00 UTC,2.58843586365329e-07,23272.197500296625,194.14043815059293
2014-08-17 00:00:00 UTC,2.519175034872633e-07,22668.284220880443,143.09404094064425
2014-08-18 00:00:00 UTC,2.307200255236425e-07,20778.147438033586,233.21238131192007
2014-08-19 00:00:00 UTC,2.378726906618682e-07,21440.349610163415,162.2342912820703
2014-08-20 00:00:00 UTC,2.533711728115049e-07,22856.731640476202,217.40030370052034
2014-08-21 00:00:00 UTC,2.524380219710346e-07,22791.913033240726,173.57218178342154
2014-08-22 00:00:00 UTC,2.412804478735572e-07,21803.07574777805,140.33480354009959
2014-08-23 00:00:00 UTC,2.396939403604098e-07,21678.94796005392,93.26721559854211
2014-08-24 00:00:00 UTC,2.416320264428332e-07,21873.401217464554,68.13009535570775
2014-08-25 00:00:00 UTC,2.239907389077829e-07,20293.569630734015,391.2858036632215
2014-08-26 00:00:00 UTC,2.931246262035547e-07,26579.544854729396,754.1455843062615
2014-08-27 00:00:00 UTC,2.704662835742821e-07,24545.992108085095,192.00432682532045
2014-08-28 00:00:00 UTC,2.613752746119438e-07,23741.575797994366,125.37117638698633
2014-08-29 00:00:00 UTC,2.525446976374748e-07,22959.684809459497,83.25473667819809
2014-08-30 00:00:00 UTC,2.670990956104871e-07,24302.923030869486,84.17485002698092
2014-08-31 00:00:00 UTC,2.765389396963531e-07,25182.51075628693,194.39865598013336
2014-09-01 00:00:00 UTC,2.726652192820197e-07,24850.718658502483,143.25020683302262
2014-09-02 00:00:00 UTC,2.719417193713765e-07,24806.14326991942,106.78655033413058
2014-09-03 00:00:00 UTC,2.892003395124215e-07,26403.062310702233,173.49812317577414
2014-09-04 00:00:00 UTC,3.236517827889409e-07,29573.00644254623,428.4194902458815
2014-09-05 00:00:00 UTC,3.441425046786342e-07,31471.028059226388,287.3179180648877
2014-09-06 00:00:00 UTC,4.300507363918293e-07,39358.98578127528,1153.9999205335378
2014-09-07 00:00:00 UTC,3.896240356104971e-07,35688.96798281712,499.41310921406546
2014-09-08 00:00:00 UTC,3.762239154621496e-07,34489.07228311265,503.6384725054035
2014-09-09 00:00:00 UTC,4.132951615474492e-07,37917.625636831624,417.23138414300337
2014-09-10 00:00:00 UTC,3.914506147559525e-07,35942.69257254756,356.713376575018
2014-09-11 00:00:00 UTC,4.361959428982904e-07,40084.37939824063,537.3307058135405
2014-09-12 00:00:00 UTC,4.369654645521239e-07,40193.79361488931,380.3372725441649
2014-09-13 00:00:00 UTC,5.500693054789075e-07,50644.86790614888,1328.141410371757
2014-09-14 00:00:00 UTC,7.014775951675085e-07,64627.28957102836,6393.38392236637
2014-09-15 00:00:00 UTC,6.884932798540096e-07,63502.296649990385,3174.4205972995683
2014-09-16 00:00:00 UTC,6.163691813812571e-07,56850.022719588305,1102.6236955023453
2014-09-17 00:00:00 UTC,5.887331734641779e-07,54301.050893248954,3044.066250663006
2014-09-18 00:00:00 UTC,6.991997075659045e-07,64489.79030972021,4969.399518972308
2014-09-19 00:00:00 UTC,7.014700239317155e-07,64699.19003455358,2046.1993244229673
2014-09-20 00:00:00 UTC,7.160838677900378e-07,66047.07922249832,2248.9974704850206
2014-09-21 00:00:00 UTC,7.198092914388588e-07,66390.68890557972,1154.762122639896
2014-09-22 00:00:00 UTC,7.389298116731649e-07,68154.24562218052,1395.8226041477003
2014-09-23 00:00:00 UTC,7.190567874870074e-07,66823.5930218045,1529.0733506823292
2014-09-24 00:00:00 UTC,8.266971605514747e-07,76898.16188559314,2837.5630501277924
2014-09-25 00:00:00 UTC,9.082348612482021e-07,84561.12844577941,5565.470411857938
2014-09-26 00:00:00 UTC,1.111879902530562e-06,103619.11940942811,11446.823673277708
2014-09-27 00:00:00 UTC,9.454687906150656e-07,88191.65178883362,7003.757670722716
2014-09-28 00:00:00 UTC,1.044306761858328e-06,97501.87185433133,5348.005159820413
2014-09-29 00:00:00 UTC,1.052873101330572e-06,98390.30829634504,2895.5559062777475
2014-09-30 00:00:00 UTC,1.03019680336908e-06,96360.85008437277,1727.8604150491813
2014-10-01 00:00:00 UTC,9.599979234112126e-07,89874.20281741422,2383.3486212548128
2014-10-02 00:00:00 UTC,8.89305158330841e-07,83319.64616589897,3292.443160583832
2014-10-03 00:00:00 UTC,9.003675882101859e-07,84394.4432876435,2926.698357098154
2014-10-04 00:00:00 UTC,8.96590869707443e-07,84078.93629404208,1976.1637562878784
2014-10-05 00:00:00 UTC,8.442200863834168e-07,79204.12807574967,3227.695501873713
2014-10-06 00:00:00 UTC,8.925589269879902e-07,83777.623755436,3701.606625169199
2014-10-07 00:00:00 UTC,8.844628548167753e-07,83055.96090981281,2867.2556028072254
2014-10-08 00:00:00 UTC,8.19702168079962e-07,77009.92338622229,1842.8631392008663
2014-10-09 00:00:00 UTC,8.092095056558918e-07,76058.21443464646,1761.1812062658207
2014-10-10 00:00:00 UTC,7.509487084791826e-07,70615.11544702377,1218.2340982635799
2014-10-11 00:00:00 UTC,7.736550285103356e-07,72783.48841454322,1055.1665280131115
2014-10-12 00:00:00 UTC,7.782825555592686e-07,73251.59516742323,821.6493332060837
2014-10-13 00:00:00 UTC,7.33775077356548e-07,69093.87193999928,878.8810324748447
2014-10-14 00:00:00 UTC,7.10488456108683e-07,66931.2817196298,1164.0236675074711
2014-10-15 00:00:00 UTC,6.924014866573993e-07,65257.04941280986,1661.578738068507
2014-10-16 00:00:00 UTC,6.753040914826166e-07,63675.01875998986,802.915359885285
2014-10-17 00:00:00 UTC,6.543678613731899e-07,61728.529290335355,727.6022550156807
2014-10-18 00:00:00 UTC,6.553520457423473e-07,61849.63248032319,698.0769249546902
2014-10-19 00:00:00 UTC,6.152340103295294e-07,58089.65006973047,590.1474495323613
